family,diameter,length,length_in,bit_dia_in,hef_min_in,hef_max_in,weight_each_lb_est,adhesive,source,unit_price,price_source
"HAS-V-36 (F1554 Gr36, zinc)",3/4,6,6.0,7/8,3-1/2,15,0.988,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),8.24,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-V-36 (F1554 Gr36, zinc)",3/4,8,8.0,7/8,3-1/2,15,1.238,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),10.96,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-V-36 (F1554 Gr36, zinc)",3/4,10,10.0,7/8,3-1/2,15,1.488,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),13.68,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-V-36 (F1554 Gr36, zinc)",3/4,12,12.0,7/8,3-1/2,15,1.738,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),16.48,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-V-36 (F1554 Gr36, zinc)",3/4,16,16.0,7/8,3-1/2,15,2.238,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),21.92,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-V-36 (F1554 Gr36, zinc)",1,12,12.0,1-1/8,4,20,3.21,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),22.00,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",3/8,3,3.0,7/16,2-3/8,7-1/2,0.133,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),5.52,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",3/8,4-3/8,4.375,7/16,2-3/8,7-1/2,0.176,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),5.63,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",3/8,5-1/8,5.125,7/16,2-3/8,7-1/2,0.199,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),5.90,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",3/8,8,8.0,7/16,2-3/8,7-1/2,0.288,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),6.99,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",3/8,12,12.0,7/16,2-3/8,7-1/2,0.412,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),7.76,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",1/2,3-1/8,3.125,9/16,2-3/4,10,0.261,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),6.75,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",1/2,4-1/2,4.5,9/16,2-3/4,10,0.338,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),6.92,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",1/2,6-1/2,6.5,9/16,2-3/4,10,0.45,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),5.27,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",1/2,8,8.0,9/16,2-3/4,10,0.534,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),7.14,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",1/2,10,10.0,9/16,2-3/4,10,0.646,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),9.46,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",1/2,12,12.0,9/16,2-3/4,10,0.758,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),10.26,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",5/8,6,6.0,3/4,3-1/8,12-1/2,0.678,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),8.00,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",5/8,8,8.0,3/4,3-1/8,12-1/2,0.852,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),9.05,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",5/8,9,9.0,3/4,3-1/8,12-1/2,0.939,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),13.35,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",5/8,12,12.0,3/4,3-1/8,12-1/2,1.2,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),13.81,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",5/8,17,17.0,3/4,3-1/8,12-1/2,1.635,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),16.44,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",3/4,6,6.0,7/8,3-1/2,15,0.988,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),9.65,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",3/4,8,8.0,7/8,3-1/2,15,1.238,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),11.67,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",3/4,10,10.0,7/8,3-1/2,15,1.488,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),13.63,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",3/4,11,11.0,7/8,3-1/2,15,1.613,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),18.48,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",3/4,12,12.0,7/8,3-1/2,15,1.738,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),19.01,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",3/4,14,14.0,7/8,3-1/2,15,1.988,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),21.75,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",3/4,17,17.0,7/8,3-1/2,15,2.363,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),25.40,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",3/4,19,19.0,7/8,3-1/2,15,2.613,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),27.39,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",3/4,21,21.0,7/8,3-1/2,15,2.863,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),29.23,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",3/4,25,25.0,7/8,3-1/2,15,3.363,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),32.88,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",7/8,10,10.0,1,3-1/2,17-1/2,2.07,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),23.87,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",7/8,13,13.0,1,3-1/2,17-1/2,2.58,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),32.07,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",1,12,12.0,1-1/8,4,20,3.21,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),31.00,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",1,14,14.0,1-1/8,4,20,3.656,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),51.31,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",1,16,16.0,1-1/8,4,20,4.102,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),65.02,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",1,20,20.0,1-1/8,4,20,4.994,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),77.30,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",1-1/4,16,16.0,1-3/8,5,25,6.536,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),97.48,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-E-55 (F1554 Gr55, zinc)",1-1/4,22,22.0,1-3/8,5,25,8.624,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),129.79,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-B-105 HDG (A193 B7 / F1554 Gr105, hot-dip galv)",3/8,5-1/8,5.125,7/16,2-3/8,7-1/2,0.199,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),5.80,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-B-105 HDG (A193 B7 / F1554 Gr105, hot-dip galv)",1/2,8,8.0,9/16,2-3/4,10,0.534,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),9.28,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-B-105 HDG (A193 B7 / F1554 Gr105, hot-dip galv)",5/8,8,8.0,3/4,3-1/8,12-1/2,0.852,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),11.52,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-B-105 HDG (A193 B7 / F1554 Gr105, hot-dip galv)",5/8,12,12.0,3/4,3-1/8,12-1/2,1.2,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),15.44,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-B-105 HDG (A193 B7 / F1554 Gr105, hot-dip galv)",3/4,10,10.0,7/8,3-1/2,15,1.488,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),16.16,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-B-105 HDG (A193 B7 / F1554 Gr105, hot-dip galv)",3/4,14,14.0,7/8,3-1/2,15,1.988,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),27.04,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-B-105 HDG (A193 B7 / F1554 Gr105, hot-dip galv)",3/4,20,20.0,7/8,3-1/2,15,2.738,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),36.10,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-B-105 HDG (A193 B7 / F1554 Gr105, hot-dip galv)",7/8,10,10.0,1,3-1/2,17-1/2,2.07,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),18.88,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-B-105 HDG (A193 B7 / F1554 Gr105, hot-dip galv)",7/8,12,12.0,1,3-1/2,17-1/2,2.41,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),21.60,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-B-105 HDG (A193 B7 / F1554 Gr105, hot-dip galv)",7/8,16,16.0,1,3-1/2,17-1/2,3.09,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),38.56,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
