family,diameter,length,length_in,bolt_nut_lb_per_100,washer_lb_per_100,set_weight_each_lb,source
A325 Bolt Set,3/4,1-1/2,1.5,52.2,4.8,0.57,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,1-1/2,1.5,78.0,7.0,0.85,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,1-1/2,1.5,109,9.4,1.184,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,1-1/2,1.5,148,11.3,1.593,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,1-1/2,1.5,197,13.8,2.108,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1/2,1-3/4,1.75,20.5,2.1,0.226,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,1-3/4,1.75,35.3,3.6,0.389,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,1-3/4,1.75,55.3,4.8,0.601,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,1-3/4,1.75,81.9,7.0,0.889,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,1-3/4,1.75,114,9.4,1.234,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,1-3/4,1.75,154,11.3,1.653,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,1-3/4,1.75,205,13.8,2.188,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,1-3/4,1.75,261,16.8,2.778,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,1-3/4,1.75,333,20.0,3.53,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1/2,2,2.0,21.9,2.1,0.24,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,2,2.0,37.4,3.6,0.41,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,2,2.0,58.4,4.8,0.632,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,2,2.0,86.1,7.0,0.931,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,2,2.0,119,9.4,1.284,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,2,2.0,160,11.3,1.713,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,2,2.0,212,13.8,2.258,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,2,2.0,270,16.8,2.868,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,2,2.0,344,20.0,3.64,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1/2,2-1/4,2.25,23.3,2.1,0.254,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,2-1/4,2.25,39.8,3.6,0.434,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,2-1/4,2.25,61.6,4.8,0.664,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,2-1/4,2.25,90.3,7.0,0.973,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,2-1/4,2.25,124,9.4,1.334,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,2-1/4,2.25,167,11.3,1.783,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,2-1/4,2.25,220,13.8,2.338,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,2-1/4,2.25,279,16.8,2.958,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,2-1/4,2.25,355,20.0,3.75,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1/2,2-1/2,2.5,24.7,2.1,0.268,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,2-1/2,2.5,41.7,3.6,0.453,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,2-1/2,2.5,64.7,4.8,0.695,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,2-1/2,2.5,94.6,7.0,1.016,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,2-1/2,2.5,130,9.4,1.394,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,2-1/2,2.5,174,11.3,1.853,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,2-1/2,2.5,229,13.8,2.428,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,2-1/2,2.5,290,16.8,3.068,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,2-1/2,2.5,366,20.0,3.86,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1/2,2-3/4,2.75,26.1,2.1,0.282,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,2-3/4,2.75,43.9,3.6,0.475,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,2-3/4,2.75,67.8,4.8,0.726,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,2-3/4,2.75,98.8,7.0,1.058,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,2-3/4,2.75,135,9.4,1.444,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,2-3/4,2.75,181,11.3,1.923,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,2-3/4,2.75,237,13.8,2.508,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,2-3/4,2.75,300,16.8,3.168,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,2-3/4,2.75,379,20.0,3.99,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1/2,3,3.0,27.4,2.1,0.295,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,3,3.0,46.1,3.6,0.497,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,3,3.0,70.9,4.8,0.757,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,3,3.0,103,7.0,1.1,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,3,3.0,141,9.4,1.504,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,3,3.0,188,11.3,1.993,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,3,3.0,246,13.8,2.598,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,3,3.0,310,16.8,3.268,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,3,3.0,391,20.0,4.11,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1/2,3-1/4,3.25,28.8,2.1,0.309,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,3-1/4,3.25,48.2,3.6,0.518,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,3-1/4,3.25,74.0,4.8,0.788,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,3-1/4,3.25,107,7.0,1.14,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,3-1/4,3.25,146,9.4,1.554,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,3-1/4,3.25,195,11.3,2.063,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,3-1/4,3.25,255,13.8,2.688,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,3-1/4,3.25,321,16.8,3.378,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,3-1/4,3.25,403,20.0,4.23,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1/2,3-1/2,3.5,30.2,2.1,0.323,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,3-1/2,3.5,50.4,3.6,0.54,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,3-1/2,3.5,77.1,4.8,0.819,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,3-1/2,3.5,111,7.0,1.18,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,3-1/2,3.5,151,9.4,1.604,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,3-1/2,3.5,202,11.3,2.133,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,3-1/2,3.5,263,13.8,2.768,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,3-1/2,3.5,332,16.8,3.488,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,3-1/2,3.5,416,20.0,4.36,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1/2,3-3/4,3.75,31.6,2.1,0.337,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,3-3/4,3.75,52.5,3.6,0.561,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,3-3/4,3.75,80.2,4.8,0.85,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,3-3/4,3.75,116,7.0,1.23,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,3-3/4,3.75,157,9.4,1.664,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,3-3/4,3.75,209,11.3,2.203,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,3-3/4,3.75,272,13.8,2.858,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,3-3/4,3.75,342,16.8,3.588,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,3-3/4,3.75,428,20.0,4.48,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1/2,4,4.0,33.0,2.1,0.351,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,4,4.0,54.7,3.6,0.583,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,4,4.0,83.3,4.8,0.881,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,4,4.0,120,7.0,1.27,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,4,4.0,162,9.4,1.714,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,4,4.0,216,11.3,2.273,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,4,4.0,280,13.8,2.938,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,4,4.0,353,16.8,3.698,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,4,4.0,441,20.0,4.61,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1/2,4-1/4,4.25,34.3,2.1,0.364,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,4-1/4,4.25,56.9,3.6,0.605,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,4-1/4,4.25,86.4,4.8,0.912,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,4-1/4,4.25,124,7.0,1.31,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,4-1/4,4.25,168,9.4,1.774,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,4-1/4,4.25,223,11.3,2.343,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,4-1/4,4.25,289,13.8,3.028,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,4-1/4,4.25,363,16.8,3.798,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,4-1/4,4.25,453,20.0,4.73,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1/2,4-1/2,4.5,35.7,2.1,0.378,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,4-1/2,4.5,59.0,3.6,0.626,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,4-1/2,4.5,89.5,4.8,0.943,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,4-1/2,4.5,128,7.0,1.35,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,4-1/2,4.5,173,9.4,1.824,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,4-1/2,4.5,230,11.3,2.413,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,4-1/2,4.5,298,13.8,3.118,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,4-1/2,4.5,374,16.8,3.908,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,4-1/2,4.5,465,20.0,4.85,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1/2,4-3/4,4.75,37.1,2.1,0.392,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,4-3/4,4.75,61.2,3.6,0.648,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,4-3/4,4.75,92.7,4.8,0.975,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,4-3/4,4.75,133,7.0,1.4,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,4-3/4,4.75,179,9.4,1.884,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/8,4-3/4,4.75,237,11.3,2.483,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/4,4-3/4,4.75,306,13.8,3.198,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-3/8,4-3/4,4.75,384,16.8,4.008,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1-1/2,4-3/4,4.75,478,20.0,4.98,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1/2,5,5.0,38.5,2.1,0.406,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,5,5.0,63.3,3.6,0.669,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,5,5.0,95.8,4.8,1.006,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,5,5.0,137,7.0,1.44,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,5,5.0,184,9.4,1.934,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
